id,cases
658,156397
659,156414
660,156456
661,156487
662,156510
663,156552
664,156610
665,156649
666,156739
667,156739
668,156812
669,156864
670,156896
671,156911
672,157015
673,157032
674,157144
675,157171
676,157190
677,157218
678,157260
679,157289
680,157359
681,157387
682,157412
683,157431
684,157454
685,157499
686,157508
687,157542
688,157585
689,157603
690,157611
691,157633
692,157648
693,157660
694,157665
695,157725
696,157734
697,157745
698,157787
699,157797
700,157816
701,157841
702,157878
703,157887
704,157895
705,157951
706,157967
707,157998
708,158037
709,158056
710,158084
711,158107
712,158189
713,158183
714,158205
715,158245
716,158275
717,158300
718,158309
719,158381
720,158394
721,158471
722,158511
723,158602
724,158639
725,158678
726,158717
727,158826
728,158974
729,159070
730,159303
731,159516
732,159548
733,159649
734,159896
735,160252
736,160692
737,161004
738,161057
739,161290
740,162111
741,162926
742,163555
743,164190
744,164727
745,165358
746,165711
747,166191
748,166924
749,167739
750,168550
751,169448
752,169940
753,170152
754,170604
755,171246
756,171422
757,171519
758,171673
759,171857
760,171931
761,172205
762,172441
763,172716
764,172901
765,173047
766,173084
767,173146
768,173395
769,173659
770,173879
771,174073
772,174214
773,174214
774,174331
775,174582
776,175000
777,175353
778,175525
779,175893
780,175974
781,176039
782,176201
783,176409
784,176571
785,176743
786,176918
787,176983
788,177039
789,177093
790,177191
791,177255
792,177321
793,177321
794,177321
795,177321
796,177520
797,177602
798,177658
799,177716
800,177747
801,177782
802,177803
803,177827
804,177897
805,177932
806,177974
807,177974
808,177974
809,177974
810,177974
811,178141
812,178257
813,178295
814,178352
815,178373
816,178387
817,178418
818,178457
819,178513
820,178574
821,178611
822,178638
823,178648
824,178689
825,178745
826,178769
827,178809
828,178850
829,178873
830,178879
831,178899
832,178901
833,178901
834,178901
835,178905
836,178919
837,178922
838,178981
839,179010
840,179017
841,179131
842,179169
843,179203
844,179242
845,179267
846,179321
847,179328
848,179477
849,179597
850,179624
851,179674
852,179716
853,179716
854,179771
855,179835
856,179835
857,180086
858,180122
859,180174
860,180259
861,180347
862,180419
863,180520
864,180584
865,180615
866,180615
867,180688
868,180741
869,180784
870,180864
871,180864
872,180864
873,180864
874,181120
875,181178
876,181236
877,181465
878,181534
879,181574
880,181666
881,181725
882,181808
883,181912
884,181987
885,182033
886,182072
887,182149
888,182228
889,182324
890,182403
891,182528
892,182594
893,182643
894,182724
895,182793
896,182793
897,182979
898,183084
899,183221
900,183235
901,183265
902,183268
903,183272
904,183285
905,183358
906,183407
907,183445
908,183572
909,183687
910,183908
911,184038
912,184224
913,184360
914,184473
915,184587
916,184819
917,185086
918,185272
919,185393
920,185481
921,185552
