id,Afghanistan,Brazil,Finland,Germany,India,Japan,Italy,Kenya,Malaysia,Nepal,Ukraine
113,4967,190137,6365,171306,78055,15998,222104,737,6779,250,16425
114,5339,203165,6443,172239,81997,16096,223096,758,6819,249,16847
115,6053,220291,6493,173152,85784,16148,223885,781,6855,267,17330
116,6402,233511,6548,173772,90648,16202,224760,830,6872,291,17858
117,6635,241080,6573,174355,95698,16226,225435,887,6894,295,18291
118,7072,255368,6602,174697,100328,16259,225886,912,6941,375,18616
119,7655,271885,6647,175210,106475,16287,226699,963,6978,402,18876
120,8145,294624,6688,176007,112028,16321,227364,1029,7009,427,19230
121,8676,312761,6731,176752,118226,16362,228006,1109,7059,457,19706
122,9216,334568,6753,177212,124794,16385,228658,1161,7137,516,20148
123,9952,351565,6785,177850,131423,16410,229327,1192,7185,584,20580
124,10668,366033,6803,178281,138536,16451,229858,1214,7245,603,20986
125,11180,378840,6823,178570,144950,16472,230158,1286,7417,682,21245
126,11917,395167,6868,179002,150793,16502,230555,1348,7604,772,21584
127,12465,415366,6901,179364,158086,16528,231139,1471,7619,886,21905
128,13102,443703,6913,179717,165386,16588,231732,1618,7629,1042,22382
129,13745,470593,6943,180458,173491,16661,232248,1745,7732,1212,22811
130,14529,502914,6964,181196,181827,16706,232664,1888,7762,1401,23204
131,15180,516137,6974,181482,190609,16741,232997,1962,7819,1572,23672
132,15836,531286,6986,181815,198370,16778,233197,2021,7857,1811,24562
133,16578,562963,7003,182028,207191,16829,233515,2093,7877,2099,24895
134,17353,589048,7018,182370,216824,16858,233836,2216,7970,2300,25385
135,17977,621002,7043,182764,226713,16902,234013,2340,8247,2634,25981
136,19055,653103,7055,183271,236184,16949,234531,2474,8266,2912,26542
137,19637,676893,7068,183678,246622,16995,234801,2600,8303,3235,27101
138,20428,694881,7081,183979,257486,17033,234998,2767,8322,3448,27599
139,21003,712219,7085,184193,265928,17054,235278,2872,8329,3762,28077
140,21308,743917,7095,184543,276146,17099,235561,2989,8336,4086,28479
141,22228,777707,7103,184861,286605,17135,235763,3094,8338,4364,29015
142,22976,806399,7110,185416,297535,17179,236142,3215,8369,4614,29706
143,23632,830681,7119,185674,308993,17240,236305,3305,8402,5062,30415
144,24188,851911,7132,186022,320922,17285,236651,3457,8445,5335,31177
145,24852,868705,7134,186269,332424,17360,236989,3594,8453,5760,31851
146,25613,893322,7139,186461,343091,17432,237290,3727,8494,6211,32536
147,25719,930305,7155,186839,354065,17474,237500,3860,8505,6591,33209
148,26960,961230,7163,187184,366946,17520,237828,4044,8515,7177,33986
149,27423,986750,7167,187764,380532,17589,238159,4257,8529,7848,34833
150,27964,1042809,7175,188534,395048,17650,238011,4374,8535,8274,35755
151,28383,1106332,7175,189135,410451,17714,238275,4478,8556,8605,36615
152,28919,1086536,7177,189822,425282,17769,238499,4738,8572,9026,37361
153,29229,1114728,7190,190359,440215,17812,238720,4797,8587,9561,38056
154,29567,1154255,7195,190862,456183,17869,238833,4952,8590,10099,38901
155,29726,1195288,7200,191449,473105,17965,239410,5206,8596,10728,39852
156,30261,1236752,7217,192079,490401,18047,239706,5384,8600,11162,40854
157,30346,1281636,7231,192556,508953,18152,239961,5533,8606,11755,41975
158,30702,1318556,7234,193243,528859,18244,240136,5811,8616,12309,42932
159,31053,1351439,7236,193499,548318,18357,240310,6070,8634,12772,43856
160,31324,1372989,7243,193761,566840,18467,240436,6190,8637,13248,44538
161,31445,1412669,7259,194259,585481,18605,240578,6366,8639,13564,45254
162,31848,1459494,7269,194725,604641,18732,240760,6673,8640,14046,45924
163,32108,1503895,7271,195228,625544,18926,240961,6941,8643,14519,46821
164,32410,1546935,7278,195674,648315,19176,241184,7188,8648,15259,47705
165,32758,1580502,7284,196096,673165,19450,241419,7577,8658,15491,48628
166,33037,1605695,7286,196335,697413,19658,241611,7886,8663,15784,49468
167,33150,1630149,7289,196554,719664,19834,241819,8067,8668,15964,50053
168,33470,1676848,7297,196944,742417,20042,241956,8250,8674,16168,50622
169,33680,1722098,7300,197341,767296,20249,242149,8528,8677,16423,51457
170,33739,1765060,7309,197783,793802,20604,242363,8975,8683,16531,52285
171,34280,1809371,7317,198178,820916,21034,242639,9448,8696,16649,53116
172,34437,1844318,7323,198556,849522,21420,242827,9726,8704,16719,53941
173,34537,1867976,7323,198804,878254,21827,243061,10105,8718,16801,54647
174,34541,1890869,7327,198963,906752,22086,243230,10294,8725,16945,55285
175,34826,1933791,7333,199375,936181,22419,243344,10791,8729,17061,55931
176,35026,1973933,7338,199726,968857,22869,243506,11252,8734,17177,56779
177,35156,2017616,7343,200260,1003832,23493,243736,11673,8737,17344,57640
178,35315,2052234,7352,200843,1039084,24090,243967,12062,8755,17445,58466
179,35375,2077987,7358,201372,1077781,24751,244216,12750,8764,17502,59333
180,35561,2101399,7365,201574,1118206,25262,244434,13353,8779,17658,60077
181,35595,2124152,7370,201823,1155338,25680,244624,13771,8800,17844,60767
182,35701,2171079,7382,202345,1193078,26312,244752,14168,8815,17994,61454
183,35813,2237229,7390,202799,1238798,27107,245032,14805,8831,18094,62295
184,36001,2294555,7401,203368,1288108,28088,245338,15601,8840,18241,63169
185,36067,2351458,7404,204183,1337024,28867,245590,16268,8861,18374,64173
186,36122,2398993,7414,204964,1385635,29668,245864,16643,8884,18483,65317
187,36243,2421666,7418,205269,1435616,30507,246118,17603,8897,18613,66261
188,36349,2449677,7426,205609,1480073,31107,246286,17975,8904,18752,67096
189,36454,2503681,7438,206242,1531669,32092,246488,18581,8943,19063,68030
190,36557,2559132,7447,206926,1581963,33362,246776,19125,8956,19273,69078
